slot_id,timestamp,date,price_buy_yuan_per_kwh,p1_ess_charge_kw,p1_ess_discharge_kw,bl_ess_charge_kw,bl_ess_discharge_kw
431,2025-07-18 11:30:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
432,2025-07-18 11:45:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
433,2025-07-18 12:00:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
434,2025-07-18 12:15:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
435,2025-07-18 12:30:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
436,2025-07-18 12:45:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
437,2025-07-18 13:00:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
438,2025-07-18 13:15:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
439,2025-07-18 13:30:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
440,2025-07-18 13:45:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
441,2025-07-18 14:00:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
442,2025-07-18 14:15:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
443,2025-07-18 14:30:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
444,2025-07-18 14:45:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
445,2025-07-18 15:00:00,2025-07-18,0.82,0.0,0.0,0.0,0.0
446,2025-07-18 15:15:00,2025-07-18,0.82,0.0,0.0,0.0,0.0
447,2025-07-18 15:30:00,2025-07-18,0.82,0.0,0.0,0.0,0.0
448,2025-07-18 15:45:00,2025-07-18,0.82,0.0,0.0,0.0,0.0
449,2025-07-18 16:00:00,2025-07-18,0.82,0.0,0.0,0.0,0.0
450,2025-07-18 16:15:00,2025-07-18,0.82,0.0,0.0,0.0,0.0
451,2025-07-18 16:30:00,2025-07-18,0.82,0.0,0.0,0.0,0.0
452,2025-07-18 16:45:00,2025-07-18,0.82,0.0,0.0,0.0,0.0
453,2025-07-18 17:00:00,2025-07-18,1.28,0.0,300.0,0.0,0.0
454,2025-07-18 17:15:00,2025-07-18,1.28,0.0,300.0,0.0,0.0
455,2025-07-18 17:30:00,2025-07-18,1.28,0.0,300.0,0.0,0.0
456,2025-07-18 17:45:00,2025-07-18,1.28,0.0,300.0,0.0,0.0
457,2025-07-18 18:00:00,2025-07-18,1.28,0.0,300.0,0.0,0.0
458,2025-07-18 18:15:00,2025-07-18,1.28,0.0,300.0,0.0,0.0
459,2025-07-18 18:30:00,2025-07-18,1.28,0.0,300.0,0.0,0.0
460,2025-07-18 18:45:00,2025-07-18,1.28,0.0,300.0,0.0,0.0
461,2025-07-18 19:00:00,2025-07-18,1.28,0.0,0.0,0.0,0.0
462,2025-07-18 19:15:00,2025-07-18,1.28,0.0,0.0,0.0,0.0
463,2025-07-18 19:30:00,2025-07-18,1.28,0.0,0.0,0.0,0.0
464,2025-07-18 19:45:00,2025-07-18,1.28,0.0,48.0,0.0,0.0
465,2025-07-18 20:00:00,2025-07-18,1.28,0.0,300.0,0.0,0.0
466,2025-07-18 20:15:00,2025-07-18,1.28,0.0,300.0,0.0,0.0
467,2025-07-18 20:30:00,2025-07-18,1.28,0.0,300.0,0.0,0.0
468,2025-07-18 20:45:00,2025-07-18,1.28,0.0,300.0,0.0,0.0
469,2025-07-18 21:00:00,2025-07-18,0.72,0.0,0.0,0.0,0.0
470,2025-07-18 21:15:00,2025-07-18,0.72,0.0,0.0,0.0,0.0
471,2025-07-18 21:30:00,2025-07-18,0.72,0.0,0.0,0.0,0.0
472,2025-07-18 21:45:00,2025-07-18,0.72,0.0,0.0,0.0,0.0
473,2025-07-18 22:00:00,2025-07-18,0.72,0.0,0.0,0.0,0.0
474,2025-07-18 22:15:00,2025-07-18,0.72,0.0,0.0,0.0,0.0
475,2025-07-18 22:30:00,2025-07-18,0.72,0.0,0.0,0.0,0.0
476,2025-07-18 22:45:00,2025-07-18,0.72,0.0,0.0,0.0,0.0
477,2025-07-18 23:00:00,2025-07-18,0.72,0.0,0.0,0.0,0.0
478,2025-07-18 23:15:00,2025-07-18,0.72,0.0,0.0,0.0,0.0
479,2025-07-18 23:30:00,2025-07-18,0.72,0.0,0.0,0.0,0.0
480,2025-07-18 23:45:00,2025-07-18,0.72,0.0,0.0,0.0,0.0
481,2025-07-19 00:00:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
482,2025-07-19 00:15:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
483,2025-07-19 00:30:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
484,2025-07-19 00:45:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
485,2025-07-19 01:00:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
486,2025-07-19 01:15:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
487,2025-07-19 01:30:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
488,2025-07-19 01:45:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
489,2025-07-19 02:00:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
490,2025-07-19 02:15:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
491,2025-07-19 02:30:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
492,2025-07-19 02:45:00,2025-07-19,0.4,142.10526,0.0,0.0,0.0
493,2025-07-19 03:00:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
494,2025-07-19 03:15:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
495,2025-07-19 03:30:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
496,2025-07-19 03:45:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
497,2025-07-19 04:00:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
498,2025-07-19 04:15:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
499,2025-07-19 04:30:00,2025-07-19,0.4,0.0,0.0,0.0,0.0
500,2025-07-19 04:45:00,2025-07-19,0.4,300.0,0.0,0.0,0.0
501,2025-07-19 05:00:00,2025-07-19,0.4,300.0,0.0,0.0,0.0
502,2025-07-19 05:15:00,2025-07-19,0.4,300.0,0.0,0.0,0.0
503,2025-07-19 05:30:00,2025-07-19,0.4,300.0,0.0,0.0,0.0
